Date,ICU admissions,Transit,Delta
30/4/2021,110,41.46994932,150
1/5/2021,101,41.46994932,151
2/5/2021,120,42.60379784,152
3/5/2021,123,35.63622659,153
4/5/2021,102,35.28210534,154
5/5/2021,119,35.99159387,155
6/5/2021,122,36.34571775,156
7/5/2021,105,35.99159387,157
8/5/2021,109,32.1520717,158
9/5/2021,104,31.46895881,159
10/5/2021,104,38.14791923,160
11/5/2021,110,38.87533981,161
12/5/2021,119,39.24230968,162
13/5/2021,107,38.51225077,163
14/5/2021,93,38.51225077,164
15/5/2021,91,41.46994932,165
16/5/2021,80,40.35128766,166
17/5/2021,102,41.84648631,167
18/5/2021,128,42.9845938,168
19/5/2021,127,44.1329737,169
20/5/2021,133,44.1329737,170
21/5/2021,124,44.51958998,171
22/5/2021,120,47.26536881,172
23/5/2021,114,49.2753994,173
24/5/2021,139,48.06458726,174
25/5/2021,134,47.26536881,175
26/5/2021,132,46.86811874,176
27/5/2021,127,49.2753994,177
28/5/2021,141,52.15546682,178
29/5/2021,104,55.98117431,179
30/5/2021,112,63.1672924,180
31/5/2021,126,61.32386322,181
1/6/2021,154,63.1672924,182
2/6/2021,130,63.63427347,183
3/6/2021,128,62.7024604,184
4/6/2021,123,59.9606738,185
5/6/2021,126,58.61563852,186
6/6/2021,154,55.1200775,187
7/6/2021,175,58.17434548,188
8/6/2021,190,57.73188478,189
9/6/2021,193,58.17434548,190
10/6/2021,201,59.0619963,191
11/6/2021,179,60.41302906,192
12/6/2021,178,59.9606738,193
13/6/2021,222,60.86741938,194
14/6/2021,228,60.86741938,195
15/6/2021,232,60.86741938,196
16/6/2021,229,60.86741938,197
17/6/2021,242,59.9606738,198
18/6/2021,239,59.0619963,199
19/6/2021,213,57.29135399,200
20/6/2021,206,54.69076872,201
21/6/2021,228,53.41368371,202
22/6/2021,238,52.99155209,203
23/6/2021,277,52.57117757,204
24/6/2021,255,52.99155209,205
25/6/2021,255,53.83758698,206
26/6/2021,267,55.54819751,207
27/6/2021,268,56.41601517,208
28/6/2021,310,57.29135399,209
29/6/2021,368,56.41601517,210
30/6/2021,416,55.98117431,211
1/7/2021,372,56.41601517,212
2/7/2021,391,56.85273634,213
3/7/2021,392,55.54819751,214
4/7/2021,465,55.54819751,215
5/7/2021,517,55.54819751,216
6/7/2021,574,55.54819751,217
7/7/2021,569,55.98117431,218
8/7/2021,607,55.54819751,219
9/7/2021,557,55.1200775,220
10/7/2021,552,55.54819751,221
11/7/2021,593,57.73188478,222
12/7/2021,732,57.29135399,223
13/7/2021,751,58.17434548,224
14/7/2021,756,58.61563852,225
15/7/2021,772,59.0619963,226
16/7/2021,700,59.9606738,227
17/7/2021,709,61.77916557,228
18/7/2021,799,62.23975799,229
19/7/2021,876,63.63427347,230
20/7/2021,936,63.63427347,231
21/7/2021,929,63.63427347,232
22/7/2021,954,63.63427347,233
23/7/2021,864,63.1672924,234
24/7/2021,828,62.7024604,235
25/7/2021,941,62.7024604,236
26/7/2021,938,62.7024604,237
27/7/2021,918,62.23975799,238
28/7/2021,851,60.86741938,239
29/7/2021,837,60.86741938,240
30/7/2021,747,59.9606738,241
31/7/2021,675,61.32386322,242
1/8/2021,740,62.23975799,243
2/8/2021,786,62.7024604,244
3/8/2021,764,63.63427347,245
4/8/2021,835,65.52075844,246
5/8/2021,814,64.57476345,247
6/8/2021,780,64.57476345,248
7/8/2021,728,63.63427347,249
8/8/2021,744,62.7024604,250
9/8/2021,758,62.23975799,251
10/8/2021,891,63.1672924,252
11/8/2021,849,63.1672924,253
12/8/2021,860,65.0449938,254
13/8/2021,787,66.96164888,255
14/8/2021,789,69.90312117,256
15/8/2021,808,72.93283574,257
16/8/2021,869,73.96448762,258
17/8/2021,966,72.93283574,259
18/8/2021,909,72.93283574,260
19/8/2021,946,72.93283574,261
20/8/2021,869,72.93283574,262
21/8/2021,872,70.90413429,263
22/8/2021,832,70.4023876,264
23/8/2021,967,70.90413429,265
24/8/2021,999,72.42093472,266
25/8/2021,1032,73.44734449,267
26/8/2021,953,74.4842922,268
27/8/2021,941,76.05625125,269
28/8/2021,862,79.82731572,270
29/8/2021,853,82.6126514,271
30/8/2021,1001,77.12047653,272
31/8/2021,998,76.58696221,273
1/9/2021,1081,76.05625125,274
2/9/2021,1001,75.52831435,275
3/9/2021,927,75.0067859,276
4/9/2021,950,72.93283574,277
5/9/2021,878,71.40838608,278
6/9/2021,1076,78.73814011,279
7/9/2021,1103,81.48928294,280
8/9/2021,1162,84.31746767,281
9/9/2021,1032,86.05564162,282
10/9/2021,921,87.82009465,283
11/9/2021,850,89.62015483,284
12/9/2021,864,89.01656317,285
13/9/2021,941,89.62015483,286
14/9/2021,948,89.01656317,287
15/9/2021,948,89.62015483,288
16/9/2021,889,90.83826856,289
17/9/2021,752,90.83826856,290
18/9/2021,759,90.83826856,291
19/9/2021,731,89.62015483,292
20/9/2021,811,89.01656317,293
21/9/2021,802,89.62015483,294
22/9/2021,751,89.62015483,295
23/9/2021,776,89.01656317,296
24/9/2021,726,90.22737531,297
25/9/2021,675,91.44856833,298
26/9/2021,668,94.57887113,299
27/9/2021,779,94.57887113,300
28/9/2021,776,93.94500098,301
29/9/2021,803,92.68907174,302
30/9/2021,702,91.44856833,303
1/10/2021,693,89.01656317,304
2/10/2021,695,82.6126514,305
3/10/2021,717,79.27934891,306
4/10/2021,807,77.65682401,307
5/10/2021,836,76.05625125,308
6/10/2021,780,75.52831435,309
7/10/2021,816,75.52831435,310
8/10/2021,786,75.52831435,311
9/10/2021,766,78.73814011,312
10/10/2021,731,78.73814011,313
11/10/2021,845,79.27934891,314
12/10/2021,936,80.37827173,315
13/10/2021,923,80.37827173,316
14/10/2021,913,80.37827173,317
15/10/2021,942,80.37827173,318
16/10/2021,882,79.27934891,319
17/10/2021,968,78.19603493,320
18/10/2021,1080,77.12047653,321
19/10/2021,1104,76.58696221,322
20/10/2021,1101,76.05625125,323
21/10/2021,976,76.05625125,324
22/10/2021,933,76.05625125,325
23/10/2021,908,77.12047653,326
24/10/2021,968,78.19603493,327
25/10/2021,1056,78.73814011,328
26/10/2021,1109,78.73814011,329
27/10/2021,1146,78.73814011,330
28/10/2021,1071,78.73814011,331
29/10/2021,1022,77.65682401,332
30/10/2021,896,77.65682401,333
31/10/2021,1009,76.58696221,334
1/11/2021,1086,76.58696221,335
2/11/2021,1066,77.65682401,336
3/11/2021,968,78.19603493,337
4/11/2021,865,78.73814011,338
5/11/2021,842,79.82731572,339
6/11/2021,823,78.73814011,340
7/11/2021,870,80.37827173,341
8/11/2021,993,80.93224966,342
